Start Time (UTC) = 1729570486.078829
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
0.000000	1559.5985	1554.2072	1549.1860	1545.0824	1542.3127	1559.5859	1553.7282	1549.1274	1546.4920	1542.6460
0.000800	1559.5993	1554.2080	1549.1852	1545.0824	1542.3127	1559.5851	1553.7274	1549.1274	1546.4912	1542.6468
0.001600	1559.5993	1554.2072	1549.1860	1545.0824	1542.3135	1559.5851	1553.7274	1549.1290	1546.4920	1542.6475
0.002400	1559.5993	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7274	1549.1274	1546.4920	1542.6468
0.003200	1559.5993	1554.2080	1549.1860	1545.0816	1542.3135	1559.5851	1553.7266	1549.1282	1546.4912	1542.6475
0.004000	1559.5993	1554.2080	1549.1860	1545.0816	1542.3135	1559.5859	1553.7282	1549.1282	1546.4920	1542.6468
0.004800	1559.5985	1554.2080	1549.1868	1545.0832	1542.3127	1559.5843	1553.7274	1549.1282	1546.4912	1542.6468
0.005600	1559.5985	1554.2080	1549.1868	1545.0832	1542.3143	1559.5851	1553.7274	1549.1282	1546.4912	1542.6475
0.006400	1559.5985	1554.2088	1549.1860	1545.0816	1542.3135	1559.5843	1553.7274	1549.1282	1546.4928	1542.6475
0.007200	1559.5993	1554.2072	1549.1860	1545.0824	1542.3135	1559.5851	1553.7274	1549.1282	1546.4920	1542.6475
0.008000	1559.5985	1554.2080	1549.1860	1545.0832	1542.3127	1559.5843	1553.7274	1549.1274	1546.4928	1542.6468
0.008800	1559.5985	1554.2072	1549.1860	1545.0816	1542.3127	1559.5851	1553.7282	1549.1274	1546.4920	1542.6475
0.009600	1559.5985	1554.2072	1549.1868	1545.0816	1542.3135	1559.5843	1553.7266	1549.1282	1546.4920	1542.6475
0.010400	1559.5985	1554.2080	1549.1860	1545.0824	1542.3135	1559.5851	1553.7274	1549.1282	1546.4912	1542.6475
0.011200	1559.5985	1554.2080	1549.1868	1545.0824	1542.3135	1559.5851	1553.7282	1549.1297	1546.4912	1542.6468
0.012000	1559.5985	1554.2072	1549.1868	1545.0824	1542.3135	1559.5843	1553.7266	1549.1290	1546.4920	1542.6468
0.012800	1559.5985	1554.2080	1549.1860	1545.0824	1542.3127	1559.5859	1553.7274	1549.1282	1546.4920	1542.6468
0.013600	1559.5977	1554.2080	1549.1860	1545.0824	1542.3127	1559.5827	1553.7274	1549.1274	1546.4928	1542.6468
0.014400	1559.5977	1554.2080	1549.1876	1545.0816	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.015200	1559.5985	1554.2080	1549.1868	1545.0824	1542.3143	1559.5851	1553.7274	1549.1282	1546.4912	1542.6468
0.016000	1559.5985	1554.2080	1549.1868	1545.0824	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.016800	1559.5985	1554.2080	1549.1876	1545.0824	1542.3135	1559.5859	1553.7274	1549.1282	1546.4920	1542.6468
0.017600	1559.5977	1554.2080	1549.1860	1545.0816	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6475
